InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C12H11N3O3/c13-8-1-6-11(12(16)7-8)14-9-2-4-10(5-3-9)15(17)18/h1-7,14,16H,13H2",SRCOPYFJDBQOIW-UHFFFAOYSA-N,NC1=CC=C(NC2=CC=C(C=C2)[N+]([O-])=O)C(=C1)O,,,C12H11N3O3,245.08004121199997,3.257299999999999,0,1,1,BTM00001,BTM00001,"2-Hydroxylation of 1,4-disubstituted benzene",BTMR0037,CYP1A2,HUMAN,0,NC1=CC=C(NC2=CC=C(C=C2)[N+]([O-])=O)C=C1,"InChI=1S/C12H11N3O2/c13-9-1-3-10(4-2-9)14-11-5-7-12(8-6-11)15(16)17/h1-8,14H,13H2",XHVFCOOFJKCIAP-UHFFFAOYSA-N,,229.0851
"InChI=1S/C12H11N3O3/c13-8-1-3-9(4-2-8)14-10-5-6-11(15(17)18)12(16)7-10/h1-7,14,16H,13H2",LKKYNWNUMXWRMJ-UHFFFAOYSA-N,NC1=CC=C(NC2=CC=C(C(=C2)O)[N+]([O-])=O)C=C1,,,C12H11N3O3,245.08004121199997,3.257299999999999,0,1,1,BTM00002,BTM00002,"2-Hydroxylation of 1,4-disubstituted benzene",BTMR0037,CYP1A2,HUMAN,0,NC1=CC=C(NC2=CC=C(C=C2)[N+]([O-])=O)C=C1,"InChI=1S/C12H11N3O2/c13-9-1-3-10(4-2-9)14-11-5-7-12(8-6-11)15(16)17/h1-8,14H,13H2",XHVFCOOFJKCIAP-UHFFFAOYSA-N,,229.0851
"InChI=1S/C12H11N3O3/c13-11-6-3-9(7-12(11)16)14-8-1-4-10(5-2-8)15(17)18/h1-7,14,16H,13H2",RLQIHNZDUHLDOF-UHFFFAOYSA-N,NC1=C(C=C(NC2=CC=C(C=C2)[N+]([O-])=O)C=C1)O,,,C12H11N3O3,245.080041212,3.257299999999999,0,1,1,BTM00003,BTM00003,Hydroxylation of benzene on carbon ortho to electron donating group,BTMR1045,"CYP1A2
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,0,NC1=CC=C(NC2=CC=C(C=C2)[N+]([O-])=O)C=C1,"InChI=1S/C12H11N3O2/c13-9-1-3-10(4-2-9)14-11-5-7-12(8-6-11)15(16)17/h1-8,14H,13H2",XHVFCOOFJKCIAP-UHFFFAOYSA-N,,229.0851
"InChI=1S/C12H11N3O3/c13-11-6-3-9(7-12(11)16)14-8-1-4-10(5-2-8)15(17)18/h1-7,14,16H,13H2",RLQIHNZDUHLDOF-UHFFFAOYSA-N,NC1=C(C=C(NC2=CC=C(C=C2)[N+]([O-])=O)C=C1)O,,,C12H11N3O3,245.080041212,3.257299999999999,0,1,1,BTM00003,BTM00003,Hydroxylation of benzene on carbon ortho to strongly electron donating group,BTMR1046,"CYP1A2
CYP2A6
CYP2C8
CYP2C9
CYP2C19
CYP2E1
CYP3A4",HUMAN,0,NC1=CC=C(NC2=CC=C(C=C2)[N+]([O-])=O)C=C1,"InChI=1S/C12H11N3O2/c13-9-1-3-10(4-2-9)14-11-5-7-12(8-6-11)15(16)17/h1-8,14H,13H2",XHVFCOOFJKCIAP-UHFFFAOYSA-N,,229.0851
"InChI=1S/C12H11N3O3/c16-14-11-3-1-9(2-4-11)13-10-5-7-12(8-6-10)15(17)18/h1-8,13-14,16H",LTZTVNQRMCTBHD-UHFFFAOYSA-N,N(C1=CC=C(NC2=CC=C(C=C2)[N+]([O-])=O)C=C1)O,,,C12H11N3O3,245.08004121199997,3.5173999999999994,0,1,1,BTM00004,BTM00004,N-Hydroxylation of primary arylamine,BTMR0042,"CYP1A2
CYP2A6
CYP2B6
CYP2C9
CYP2C19
CYP2E1
CYP3A4",HUMAN,0,NC1=CC=C(NC2=CC=C(C=C2)[N+]([O-])=O)C=C1,"InChI=1S/C12H11N3O2/c13-9-1-3-10(4-2-9)14-11-5-7-12(8-6-11)15(16)17/h1-8,14H,13H2",XHVFCOOFJKCIAP-UHFFFAOYSA-N,,229.0851
"InChI=1S/C12H11N3O3/c13-9-5-6-10(12-11(9)18-12)14-7-1-3-8(4-2-7)15(16)17/h1-6,11-12,14H,13H2",KKMHQLWLFNRUTA-UHFFFAOYSA-N,NC=1C2C(C(NC3=CC=C(C=C3)[N+]([O-])=O)=CC1)O2,,,C12H11N3O3,245.08004121199997,1.2100000000000002,0,0,0,BTM00005,BTM00005,Epoxidation of arene,BTMR1028,"CYP1A2
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2E1
CYP3A4",HUMAN,0,NC1=CC=C(NC2=CC=C(C=C2)[N+]([O-])=O)C=C1,"InChI=1S/C12H11N3O2/c13-9-1-3-10(4-2-9)14-11-5-7-12(8-6-11)15(16)17/h1-8,14H,13H2",XHVFCOOFJKCIAP-UHFFFAOYSA-N,,229.0851
"InChI=1S/C12H11N3O3/c13-7-1-3-8(4-2-7)14-9-5-6-10(15(16)17)12-11(9)18-12/h1-6,11-12,14H,13H2",VCACJRSHILTRHA-UHFFFAOYSA-N,NC1=CC=C(NC=2C3C(C(=CC2)[N+]([O-])=O)O3)C=C1,,,C12H11N3O3,245.08004121199997,1.4917999999999998,0,0,0,BTM00006,BTM00006,Epoxidation of arene,BTMR1028,"CYP1A2
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2E1
CYP3A4",HUMAN,0,NC1=CC=C(NC2=CC=C(C=C2)[N+]([O-])=O)C=C1,"InChI=1S/C12H11N3O2/c13-9-1-3-10(4-2-9)14-11-5-7-12(8-6-11)15(16)17/h1-8,14H,13H2",XHVFCOOFJKCIAP-UHFFFAOYSA-N,,229.0851
"InChI=1S/C12H11N3O3/c16-14-11-3-1-9(2-4-11)13-10-5-7-12(8-6-10)15(17)18/h1-8,13-14,16H",LTZTVNQRMCTBHD-UHFFFAOYSA-N,N(C1=CC=C(NC2=CC=C(C=C2)[N+]([O-])=O)C=C1)O,,,C12H11N3O3,245.08004121199997,3.5173999999999994,0,1,1,BTM00004,BTM00004,N-Hydroxylation of aniline to hydroxylamine,BTMR1103,"CYP1A2
CYP2C8
CYP2C9
CYP2E1
CYP3A4",HUMAN,0,NC1=CC=C(NC2=CC=C(C=C2)[N+]([O-])=O)C=C1,"InChI=1S/C12H11N3O2/c13-9-1-3-10(4-2-9)14-11-5-7-12(8-6-11)15(16)17/h1-8,14H,13H2",XHVFCOOFJKCIAP-UHFFFAOYSA-N,,229.0851
"InChI=1S/C14H9N3O5/c15-6-4-8(18)12(16)11-10(6)14(20)9-5(13(11)19)2-1-3-7(9)17(21)22/h1-4,18H,15-16H2",JTWMNJPPJALPCU-UHFFFAOYSA-N,NC1=C(C=C(N)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12)O,,,C14H9N3O5,299.054220388,1.8115999999999997,0,1,1,BTM00007,BTM00007,Aromatic hydroxylation of fused benzene ring,BTMR1030,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,1,NC1=CC=C(N)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12,"InChI=1S/C14H9N3O4/c15-7-4-5-8(16)12-11(7)13(18)6-2-1-3-9(17(20)21)10(6)14(12)19/h1-5H,15-16H2",SDICTISQCKLMEB-UHFFFAOYSA-N,,283.0593
"InChI=1S/C14H9N3O5/c15-6-4-8(18)12(16)11-10(6)13(19)5-2-1-3-7(17(21)22)9(5)14(11)20/h1-4,18H,15-16H2",MGYXJSJNGKSBJW-UHFFFAOYSA-N,NC1=CC(=C(N)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12)O,,,C14H9N3O5,299.054220388,1.8115999999999997,0,1,1,BTM00008,BTM00008,Aromatic hydroxylation of fused benzene ring,BTMR1030,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,1,NC1=CC=C(N)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12,"InChI=1S/C14H9N3O4/c15-7-4-5-8(16)12-11(7)13(18)6-2-1-3-9(17(20)21)10(6)14(12)19/h1-5H,15-16H2",SDICTISQCKLMEB-UHFFFAOYSA-N,,283.0593
