InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C18H19N3O8/c22-13-14(23)16(18(25)26)29-17(15(13)24)20-11-3-1-9(2-4-11)19-10-5-7-12(8-6-10)21(27)28/h1-8,13-17,19-20,22-24H,(H,25,26)",WEYAGUQRTKVMSK-UHFFFAOYSA-N,N(C1=CC=C(NC2=CC=C(C=C2)[N+]([O-])=O)C=C1)C3OC(C(O)C(O)C3O)C(O)=O,,,C18H19N3O8,405.117214568,2.0267999999999997,1,1,1,BTM00001,BTM00001,Glucuronidation of primary aromatic amine,BTMR0171,EC 2.4.1.17,HUMAN,0,NC1=CC=C(NC2=CC=C(C=C2)[N+]([O-])=O)C=C1,"InChI=1S/C12H11N3O2/c13-9-1-3-10(4-2-9)14-11-5-7-12(8-6-11)15(16)17/h1-8,14H,13H2",XHVFCOOFJKCIAP-UHFFFAOYSA-N,,229.0851
"InChI=1S/C14H13N3O3/c1-10(18)15-11-2-4-12(5-3-11)16-13-6-8-14(9-7-13)17(19)20/h2-9,16H,1H3,(H,15,18)",TVTYZKKMZDWSGM-UHFFFAOYSA-N,N(C1=CC=C(NC2=CC=C(C=C2)[N+]([O-])=O)C=C1)C(=O)C,,,C14H13N3O3,271.09569127599997,3.4952999999999994,0,0,0,BTM00002,BTM00002,N-Acetylation of arylamine,BTMR0187,"EC 2.3.1.5
Unspecified acetyltransferase",HUMAN,0,NC1=CC=C(NC2=CC=C(C=C2)[N+]([O-])=O)C=C1,"InChI=1S/C12H11N3O2/c13-9-1-3-10(4-2-9)14-11-5-7-12(8-6-11)15(16)17/h1-8,14H,13H2",XHVFCOOFJKCIAP-UHFFFAOYSA-N,,229.0851
"InChI=1S/C14H13N3O3/c1-10(18)15-11-2-4-12(5-3-11)16-13-6-8-14(9-7-13)17(19)20/h2-9,16H,1H3,(H,15,18)",TVTYZKKMZDWSGM-UHFFFAOYSA-N,N(C1=CC=C(NC2=CC=C(C=C2)[N+]([O-])=O)C=C1)C(=O)C,,,C14H13N3O3,271.09569127599997,3.4952999999999994,0,0,0,BTM00002,BTM00002,N-Acetylation of arylamine,BTMR1242,"EC 2.3.1.5
Unspecified acetyltransferase",HUMAN,0,NC1=CC=C(NC2=CC=C(C=C2)[N+]([O-])=O)C=C1,"InChI=1S/C12H11N3O2/c13-9-1-3-10(4-2-9)14-11-5-7-12(8-6-11)15(16)17/h1-8,14H,13H2",XHVFCOOFJKCIAP-UHFFFAOYSA-N,,229.0851
"InChI=1S/C20H17N3O10/c21-7-4-5-8(22-19-17(28)15(26)16(27)18(33-19)20(29)30)12-11(7)14(25)10-6(13(12)24)2-1-3-9(10)23(31)32/h1-5,15-19,22,26-28H,21H2,(H,29,30)",VYHFOCXLCZJYJS-UHFFFAOYSA-N,N(C1=CC=C(N)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12)C4OC(C(O)C(O)C4O)C(O)=O,,,C20H17N3O10,459.091393744,0.5811000000000004,1,1,1,BTM00003,BTM00003,Glucuronidation of primary aromatic amine,BTMR0171,EC 2.4.1.17,HUMAN,1,NC1=CC=C(N)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12,"InChI=1S/C14H9N3O4/c15-7-4-5-8(16)12-11(7)13(18)6-2-1-3-9(17(20)21)10(6)14(12)19/h1-5H,15-16H2",SDICTISQCKLMEB-UHFFFAOYSA-N,,283.0593
"InChI=1S/C20H17N3O10/c21-7-4-5-8(22-19-17(28)15(26)16(27)18(33-19)20(29)30)12-11(7)13(24)6-2-1-3-9(23(31)32)10(6)14(12)25/h1-5,15-19,22,26-28H,21H2,(H,29,30)",JBMZQMVSFNRPCL-UHFFFAOYSA-N,NC1=CC=C(NC2OC(C(O)C(O)C2O)C(O)=O)C=3C(=O)C4=C(C=CC=C4[N+]([O-])=O)C(=O)C13,,,C20H17N3O10,459.091393744,0.5811000000000004,1,1,1,BTM00004,BTM00004,Glucuronidation of primary aromatic amine,BTMR0171,EC 2.4.1.17,HUMAN,1,NC1=CC=C(N)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12,"InChI=1S/C14H9N3O4/c15-7-4-5-8(16)12-11(7)13(18)6-2-1-3-9(17(20)21)10(6)14(12)19/h1-5H,15-16H2",SDICTISQCKLMEB-UHFFFAOYSA-N,,283.0593
"InChI=1S/C16H11N3O5/c1-7(20)18-10-6-5-9(17)13-14(10)15(21)8-3-2-4-11(19(23)24)12(8)16(13)22/h2-6H,17H2,1H3,(H,18,20)",VKCITKLNSSUCFQ-UHFFFAOYSA-N,N(C1=CC=C(N)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12)C(=O)C,,,C16H11N3O5,325.069870452,2.0496000000000008,0,0,0,BTM00005,BTM00005,N-Acetylation of arylamine,BTMR1242,"EC 2.3.1.5
Unspecified acetyltransferase",HUMAN,1,NC1=CC=C(N)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12,"InChI=1S/C14H9N3O4/c15-7-4-5-8(16)12-11(7)13(18)6-2-1-3-9(17(20)21)10(6)14(12)19/h1-5H,15-16H2",SDICTISQCKLMEB-UHFFFAOYSA-N,,283.0593
"InChI=1S/C16H11N3O5/c1-7(20)18-10-6-5-9(17)13-14(10)16(22)12-8(15(13)21)3-2-4-11(12)19(23)24/h2-6H,17H2,1H3,(H,18,20)",OUICBYBNCLMPRZ-UHFFFAOYSA-N,NC1=CC=C(NC(=O)C)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12,,,C16H11N3O5,325.069870452,2.0496000000000008,0,0,0,BTM00006,BTM00006,N-Acetylation of arylamine,BTMR1242,"EC 2.3.1.5
Unspecified acetyltransferase",HUMAN,1,NC1=CC=C(N)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12,"InChI=1S/C14H9N3O4/c15-7-4-5-8(16)12-11(7)13(18)6-2-1-3-9(17(20)21)10(6)14(12)19/h1-5H,15-16H2",SDICTISQCKLMEB-UHFFFAOYSA-N,,283.0593
"InChI=1S/C18H20N2O6S/c19-9-1-5-11(6-2-9)27-12-7-3-10(4-8-12)20-17-15(23)13(21)14(22)16(26-17)18(24)25/h1-8,13-17,20-23H,19H2,(H,24,25)",RQAVDNDCPMSUMW-UHFFFAOYSA-N,N(C1=CC=C(SC2=CC=C(N)C=C2)C=C1)C3OC(C(O)C(O)C3O)C(O)=O,,,C18H20N2O6S,392.10420736,1.4668999999999985,1,1,1,BTM00007,BTM00007,Glucuronidation of primary aromatic amine,BTMR0171,EC 2.4.1.17,HUMAN,2,NC1=CC=C(SC2=CC=C(N)C=C2)C=C1,"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",ICNFHJVPAJKPHW-UHFFFAOYSA-N,,216.0721
"InChI=1S/C14H14N2OS/c1-10(17)16-12-4-8-14(9-5-12)18-13-6-2-11(15)3-7-13/h2-9H,15H2,1H3,(H,16,17)",DXTOKYIXBVPEMX-UHFFFAOYSA-N,N(C1=CC=C(SC2=CC=C(N)C=C2)C=C1)C(=O)C,,,C14H14N2OS,258.082684068,2.9353999999999996,0,0,0,BTM00008,BTM00008,N-Acetylation of arylamine,BTMR0187,"EC 2.3.1.5
Unspecified acetyltransferase",HUMAN,2,NC1=CC=C(SC2=CC=C(N)C=C2)C=C1,"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",ICNFHJVPAJKPHW-UHFFFAOYSA-N,,216.0721
"InChI=1S/C14H14N2OS/c1-10(17)16-12-4-8-14(9-5-12)18-13-6-2-11(15)3-7-13/h2-9H,15H2,1H3,(H,16,17)",DXTOKYIXBVPEMX-UHFFFAOYSA-N,N(C1=CC=C(SC2=CC=C(N)C=C2)C=C1)C(=O)C,,,C14H14N2OS,258.082684068,2.9353999999999996,0,0,0,BTM00008,BTM00008,N-Acetylation of arylamine,BTMR1242,"EC 2.3.1.5
Unspecified acetyltransferase",HUMAN,2,NC1=CC=C(SC2=CC=C(N)C=C2)C=C1,"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",ICNFHJVPAJKPHW-UHFFFAOYSA-N,,216.0721
