smiles,Ames
Nc1nc(N)nc(N)n1,0
Nc1ccc2c(c1)oc1ccccc12,1
Nc1ccc([N+](=O)[O-])c(N)c1,1
Nc1snc2c(Cl)cc(Cl)cc12,1
Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1,1
Nc1ccc(Nc2ccccc2)cc1,0
Nc1ncnc2c1ncn2Cc1ccc([N+](=O)[O-])cc1,1
Nc1ccc2ccccc2c1N=Nc1ccc([N+](=O)[O-])cc1,1
Nc1cccc2cc3c(nc12)CCCC3,1
Nc1c(O)cc(Cc2cc(Cl)c(N)c(OS(=O)(=O)O)c2)cc1Cl,0
Nc1ccccc1SCCSc1ccccc1N,1
Nc1c(O)cccc1[N+](=O)[O-],0
Nc1nc(O)c2nc(O)n(C3OC(CO)C(O)C3O)c2n1,0
Nc1ccc2c3c(cccc13)-c1ccccc1-2,1
Nc1cccc2cccnc12,1
Nc1nc2cc(Cl)c(Cl)cc2s1,0
Nc1ccc(C(=O)O)cc1,0
Nc1ncnc2c1nc(-c1ccc([N+](=O)[O-])cc1)n2-c1ccc([N+](=O)[O-])cc1,1
Nc1cccc2cnsc12,1
Nc1cc([N+](=O)[O-])c(-c2ccccc2)c([N+](=O)[O-])c1,1
Nc1cc2c3c(ccc2c2ccccc12)[C@@H](O)[C@H](O)C=C3,1
Nc1ccc(Sc2ccccc2)cc1,1
Nc1cccc2c(O)nnc(O)c12,0
Nc1nc(=O)n(C2OC(CO)C(O)C2O)cc1O,0
Nc1ccc(/C=C\c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,0
Nc1ccc(-c2ccc(-c3ccc(N)cc3)cc2)cc1,1
Nc1ccc2ccc3ccccc3c2c1,1
Nc1cnc2ccccc2c1,1
Nc1cc([N+](=O)[O-])ccc1-c1ccc([N+](=O)[O-])cc1,1
Nc1cccc(N)c1C(=O)O,1
Nc1ccc2ccccc2c1N=Nc1ccccc1,0
Nc1c2ncn(C(c3ccccc3)(c3ccccc3)c3ccccc3)c2nc[n+]1[O-],1
Nc1cccc2nc3ccccc3c(N)c12,1
Nc1ccc([N+](=O)[O-])cc1,1
Nc1ccc(-c2ccc(N)c(O)c2)cc1O,1
Nc1cccc(-c2ccccc2)c1,1
Nc1ccc(Cl)cc1N,1
Nc1cc(N)c(N=Nc2ccc(S(N)(=O)=O)cc2)cc1N=Nc1ccc(S(N)(=O)=O)cc1,1
Nc1ccc(S(=O)(=O)O)cc1,0
Nc1nc2ccccc2s1,0
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,0
Nc1ccc(N=Nc2ccccc2)c(N)c1,1
Nc1c([N+](=O)[O-])cccc1[N+](=O)[O-],1
Nc1c(Cl)cc(Cl)cc1Cl,0
Nc1nc[nH]n1,0
Nc1cnn(-c2ccccc2)c(=O)c1Cl,0
Nc1ccc(-c2ccc(N)cc2)cc1,1
